name,gender,slug,url,origin,meaning,about,short_forms,international_forms,first_letter,letters_count,popularity_place,popularity_bucket,tags
Иван,m,ivan,https://n-e-n.ru/imena/imya/ivan/,древнееврейское,«Бог милостив» — русская форма имени Йоханан,"Иван — главное русское имя по совокупности заслуг: четыре с лишним века оно было самым частым в стране, дало корень сотням фамилий и осело в фольклоре — от Ивана-царевича до ваньки-встаньки. После спада в советские годы вернулось и прочно держится в первой десятке. Парадокс: при всей «русскости» это форма древнееврейского Йоханан, и у имени есть двойники почти в каждом языке — John, Jean, Juan, Giovanni, Jan.",Ваня; Ванюша; Ивашка,John; Jean; Juan; Giovanni; Jan,И,4,6,top,классика; короткое
Ольга,f,olga,https://n-e-n.ru/imena/imya/olga/,скандинавское,"«святая, священная» — от Helga; имя первой русской княгини-христианки","У имени Ольга прослеживается два варианта происхождения. Второй вариант предполагает древнеславянское происхождение этого имени от мужских имен Вольга, Волх, которые использовались на Руси достаточно долго до прихода викингов, выходцев из Скандинавии. В литературных источниках чаще фигурирует древнескандинавское происхождение этого имени.",Оля; Олюшка,Olga; Helga,О,5,6,top,классика; короткое
Виктор,m,viktor,https://n-e-n.ru/imena/imya/viktor/,латинское,«победитель» — от victor,"Имя Виктор взято из латинского языка, собой оно означает «победа, победитель». Именно это слово включали римляне в приветствие своих полководцев в день триумфа. На Руси также был очень почитаемым мученик Виктор Никомидийский.",Витя; Витюша,Victor; Vittorio,В,6,7,top,классика
Галина,f,galina,https://n-e-n.ru/imena/imya/galina/,древнегреческое,"«тишина, безветрие» — морской штиль","Имя Галина в переводе с греческого языка имеет несколько значений – «штиль», «тишина», «спокойствие», «морская гладь», «безмятежность». Если принять во внимание версию происхождения этого имени от итальянского слово «галлина», то оно переводится как «курица» или «цыпленок». Значение старорусского имени Галя – «кошечка».",Галя; Галочка,Galina,Г,6,7,top,классика
Михаил,m,mihail,https://n-e-n.ru/imena/imya/mihail/,древнееврейское,"«кто как Бог» — вопрос-восклицание, имя архангела","Михаил не выходил из первой десятки русских имён больше века: так звали князей и царей, Булгакова и Лермонтова — и половину дворовых мальчишек любого поколения. Имя носит архангел Михаил, предводитель небесного воинства, поэтому в церковной традиции оно стоит особняком. Домашнее «Миша» настолько прижилось, что стало самостоятельным словом — от медведей в сказках до вежливого обращения к незнакомому коту.",Миша; Мишаня; Михася,Michael; Michel; Miguel; Michele,М,6,8,top,классика
Наталья,f,natalya,https://n-e-n.ru/imena/imya/natalya/,латинское,"«рождественская» — от natalis (родной, рождённый)","Имя Наталья традиционно выводят от латинского ""natalis"", что в переводе означает ""родной"". Также существует современная версия перевода этого слова — «рождественская», «благословенная». Однако есть и другая трактовка происхождения этого популярного женского имени: считается, что оно имеет общий корень с древнееврейским мужским именем Натан, что означает ""дарованный"".",Наташа; Ната; Тата,Natalie; Natalia,Н,7,8,top,классика
Анатолий,m,anatoliy,https://n-e-n.ru/imena/imya/anatoliy/,древнегреческое,"«восточный, восход» — от анатоле","Имя Анатолий греческого происхождения: слово переводится как «восточный», «восходящий», «восток», «рассвет». Оно связано с топонимом Анатолия — так называли Малую Азию — и могло означать уроженца этого региона. По другой версии, у имени не греческие, а хаттские корни.",Толя; Толик,Anatoly; Anatole,А,8,9,top,классика
Нина,f,nina,https://n-e-n.ru/imena/imya/nina/,грузинское,"имя просветительницы Грузии; возможно, от шумерского «госпожа»","Нина — женское имя, с происхождением которого не все понятно и сегодня. Так, по одной из версий имя Нина имеет грузинские корни (собственно в Грузии оно произносится как Нино) и, возможно, переводится как ""царица"". Некоторые исследователи склонны выводить имя Нина с иврита, где слово с таким фонетическим оформлением означает ""правнучка"".",Нинуся; Ниночка,Nina,Н,4,9,top,классика; короткое
Андрей,m,andrey,https://n-e-n.ru/imena/imya/andrey/,древнегреческое,«мужественный» — от андрос (мужчина),"Имя Андрей происходит от греческого «андрос» — «мужчина», «муж»; его переводят как «мужественный», «храбрый», «смелый». По другой версии, имя связано со словом «индра» — «могучий, сильный», эпитетом индуистского верховного бога.",Андрюша; Дрон,Andrew; André; Andrea; Anders,А,6,10,top,классика
Людмила,f,lyudmila,https://n-e-n.ru/imena/imya/lyudmila/,славянское,«милая людям» — имя чешской святой княгини,"Имя Людмила означает «людям мила». Есть и версии, возводящие его к индоевропейскому праязыку, где созвучное слово означало «цветущая».",Люда; Мила; Люся,Ludmila,Л,7,10,top,классика
Светлана,f,svetlana,https://n-e-n.ru/imena/imya/svetlana/,славянское,"«светлая»; литературное имя, вошедшее в обиход после баллады Жуковского","Светлана — славянское имя, означает «светлая», «лучезарная», «чистая». Широкую известность оно получило после баллады Жуковского «Светлана». В православных святцах ему соответствует греческое имя Фотина (Фотиния), образованное от слова «свет».",Света; Светик; Лана,Svetlana,С,8,11,top,классика
Юрий,m,yuriy,https://n-e-n.ru/imena/imya/yuriy/,древнегреческое,русская форма Георгия — «земледелец»,"Русская форма греческого имени Георгий, восходящего к слову «георгос» — «земледелец». В обиходе Юрий, Егор и Георгий долго существовали как варианты одного имени.",Юра; Юрик,Yuri,Ю,4,11,top,классика; короткое
Дмитрий,m,dmitriy,https://n-e-n.ru/imena/imya/dmitriy/,древнегреческое,"«посвящённый Деметре», богине земледелия","Дмитрий — имя с княжеской родословной (Донской, царевич Дмитрий, Менделеев Дмитрий Иванович) и одно из самых массовых в позднесоветские десятилетия: Димы восьмидесятых сейчас сами называют сыновей. Сегодня оно встречается реже — и потому звучит спокойнее, без эффекта «третий Дима в группе». Из коротких форм, кроме очевидного Димы, есть почти забытое тёплое «Митя».",Дима; Митя; Димуля,Dmitri; Demetrio,Д,7,12,top,классика
Ирина,f,irina,https://n-e-n.ru/imena/imya/irina/,древнегреческое,"«мир, покой» — от имени богини мирной жизни Эйрены","Имя пришло из древнегреческого языка и означает «мир», «покой». В его основе — греческое слово со значением мира и спокойствия.",Ира; Ируся,Irene; Irina,И,5,12,top,классика; короткое
Василий,m,vasiliy,https://n-e-n.ru/imena/imya/vasiliy/,древнегреческое,«царский» — от басилевс; парное к женскому Василиса,"Имя пришло из греческого языка: «басилевс» означает «царь, правитель», а «басилейос» — «царский, царственный». Оно было широко распространено, в том числе среди княжеских наследников.",Вася; Васёк,Basil; Basilio,В,7,13,top,классика
Екатерина,f,ekaterina,https://n-e-n.ru/imena/imya/ekaterina/,древнегреческое,«чистая» — от катарос,"Имя Екатерина имеет древнюю историю, но его истинное происхождение покрыто тайной. Согласно общепринятой версии появилось в Древней Греции и звучало как Хайкатеринэ, что означало «вечно чистая». В переводе слово означает «чистая», «непорочная», «незапятнанная».",Катя; Катюша; Кейт,Catherine; Katherine; Caterina; Kate,Е,9,13,top,классика
Евгений,m,evgeniy,https://n-e-n.ru/imena/imya/evgeniy/,древнегреческое,«благородный» — от эугенес; парное к женскому Евгения,"Слово переводится с древнегреческого как «благородный», «знатный», дословно — «хорошего рождения». Есть и экзотическая версия — о валлийском корне со значениями «ягнёнок», «юный».",Женя; Жека; Евгеша,Eugene; Eugène; Eugenio,Е,7,14,top,классика
Надежда,f,nadezhda,https://n-e-n.ru/imena/imya/nadezhda/,славянское,«надежда» — калька греческого Элпис,"Имя Надежда не нуждается в переводах, оно буквально обозначает упование, чаяние. Как личное имя современная форма оформилась в ІХ веке, когда богослужебные книги взялись переводить с древнегреческого на принятый церковнославянский. На Руси известен старославянский вариант звучания имени Надёжа.",Надя; Надюша,Nadezhda; Nadia,Н,7,14,top,классика
Анастасия,f,anastasiya,https://n-e-n.ru/imena/imya/anastasiya/,древнегреческое,"«воскресшая, возвращённая к жизни»","Имя Анастасия имеет древнегреческие корни: оно происходит от слова «анастас» — «воскресший», «восставший», «бессмертный». В основе этого слова — индоевропейский корень «ста» со значением «стоять».",Настя; Ася; Стася,Anastasia; Anastasie,А,9,15,top,классика
Валерий,m,valeriy,https://n-e-n.ru/imena/imya/valeriy/,латинское,"«здоровый, крепкий» — от valere; парное к женскому Валерия","Имя древнеримского происхождения, от родового имени Valerius (Валерий), которое встречается ещё в преданиях о Древнем Риме. На Руси оно появилось значительно позже — лишь в XIX веке; церковная форма — Уалерий.",Валера; Лера,Valery; Valerio,В,7,15,top,классика
Любовь,f,lyubov,https://n-e-n.ru/imena/imya/lyubov/,славянское,«любовь» — калька греческого Агапэ,Имя Любовь появилось как перевод — калька — древнегреческого имени Агапэ и с принятием христианства стало использоваться на Руси.,Люба; Любаша,Lyubov,Л,6,16,top,классика
Павел,m,pavel,https://n-e-n.ru/imena/imya/pavel/,латинское,"«малый, скромный» — от Paulus","Имя Павел является очень распространенным мужским именем латинского происхождения. Павел — это имя, произошедшее от латинского «Paulus», означает «маленький», «младший», «малый», «небольшой». На Русь это мужское имя пришло из Византии в конце X – начале XI века и стало достаточно популярным во всех социальных группах населения.",Паша; Павлуша,Paul; Paolo; Pablo,П,5,16,top,классика; короткое
Александра,f,aleksandra,https://n-e-n.ru/imena/imya/aleksandra/,древнегреческое,«защитница людей» — парное к Александру,"Александра — женская половина самого устойчивого имени русской истории. В царской России его носили императрицы, в советской — стало демократичной Шурой, сейчас чаще звучит как Саша или западная Алекса. Удобно и то, что имя читается в любой стране, и то, что унисекс-форма «Саша» оставляет простор: строгая Александра для документов, своя Саша для жизни.",Саша; Шура; Алекса,Alexandra; Alessandra; Sandra,А,10,17,top,классика
Максим,m,maksim,https://n-e-n.ru/imena/imya/maksim/,латинское,«величайший» — от родового имени Maximus,"В нулевые Максим держался в тройке самых частых имён и с тех пор почти не сдал позиций. Латинское Maximus — «величайший» — носили римские полководцы, а в русской литературе имя закрепил Горький, взявший его псевдонимом. Короткая форма «Макс» работает и как международная: во Франции, Германии и США это самостоятельное имя.",Макс; Максимка,Max; Maxim; Massimo; Maxime,М,6,17,top,классика
Вера,f,vera,https://n-e-n.ru/imena/imya/vera/,славянское,«вера» — калька греческого Пистис; одна из трёх сестёр-мучениц,"Славянское имя, вошедшее в церковные календари. В православной традиции почитается как имя одной из святых — сестёр Веры, Надежды и Любови.",Верочка; Веруня,Vera,В,4,18,top,классика; короткое
Игорь,m,igor,https://n-e-n.ru/imena/imya/igor/,скандинавское,"«воин бога Инга» — от Ingvarr, имя древнерусского князя","Имя Игорь выводят от древнескандинавского Ингвар (Ingvarr), где «Инг» — имя бога плодородия, а «варр» — «воин», «охраняющий». Имя носили древнерусские князья, в том числе Игорь Рюрикович.",Игорёк; Гоша,Igor,И,5,18,top,классика; короткое
Петр,m,petr,https://n-e-n.ru/imena/imya/petr/,греческое,камень,"Имя пришло из греческого языка и означает «камень», «скала». По евангельскому преданию, его дал апостолу Симону Иисус; восходит оно к прозвищу Кифа, что на арамейском также значит «камень».",Петя; Петька; Петруха; Петро; Петрик; Петрушка; Петруша; Петечка,,П,4,19,top,классика; короткое
Юлия,f,yuliya,https://n-e-n.ru/imena/imya/yuliya/,латинское,«из рода Юлиев»; род возводил себя к богине Венере,"У имени Юлия минимум две версии происхождения. По латинской, оно означает «из рода Юлиев» — знаменитого римского рода. По греческой — восходит к слову «юлос» и переводится как «кудрявая», «волнистая».",Юля; Юлечка,Julia; Julie; Giulia,Ю,4,19,top,классика; короткое
Лидия,f,lidiya,https://n-e-n.ru/imena/imya/lidiya/,древнегреческое,«жительница Лидии» — области в Малой Азии,"В переводе с древнегреческого, имя Лидия обозначает ""девушка из Лидии"", ""лидиянка"", ""азиатка"". Если же верить версии итальянцев, то Лидия переводится как ""музыкальная"", ""гармоничная"". Имя Лидия появилось в Древней Греции.",Лида; Лидуша,Lydia; Lidia,Л,5,20,top,классика; короткое
Олег,m,oleg,https://n-e-n.ru/imena/imya/oleg/,скандинавское,"«святой, посвящённый» — от Helgi, имя Вещего Олега","Имя скандинавского происхождения, от «хельги» — «священный, светлый». Оно вошло в русский обиход в эпоху ранней Руси.",Олежка; Лега,Oleg,О,4,20,top,классика; короткое
Вячеслав,m,vyacheslav,https://n-e-n.ru/imena/imya/vyacheslav/,славянское,«более славный» — княжеское двухосновное имя,"Имя состоит из двух корней «вяче» и «слав». Начальная составляющая переводится со старославянского языка как «больший», происходит от прилагательного «вящий». Заключительная часть не требует истолкования, в ней явно узнается слово «слава».",Слава; Славик,Vyacheslav; Václav,В,8,21,top,классика
Тамара,f,tamara,https://n-e-n.ru/imena/imya/tamara/,древнееврейское,«финиковая пальма»; имя великой грузинской царицы,"Тамара — женское имя древнееврейского происхождения (в Библии — Фамарь), в переводе с древнееврейского означающее ""финиковая пальма"". В Россию имя пришло из Грузии и Армении в 12 веке.",Тома; Тамарочка,Tamara,Т,6,21,top,классика
Виталий,m,vitaliy,https://n-e-n.ru/imena/imya/vitaliy/,латинское,«жизненный» — от vitalis,"Имя латинского происхождения, от «vitalis» — «жизненный, полный жизни».",Витя; Виталик,Vitaly; Vitale,В,7,22,top,классика
Марина,f,marina,https://n-e-n.ru/imena/imya/marina/,латинское,«морская» — от marinus,"Мужское имя Марин, от которого впоследствии произошло женское имя Марина, имеет общие корни со словом «маринус», что в переводе с латинского означает «морской».",Мариша; Мара,Marina; Marine,М,6,22,top,классика
Борис,m,boris,https://n-e-n.ru/imena/imya/boris/,славянское,краткая форма Борислава — «борец за славу»,"По основной версии, Борис — краткая форма славянского имени Борислав, то есть «борец за славу». Существуют и другие версии: по одной из них, в переводе с тюркского имя означает «барыш», «выгода», по другой — происходит от древнеперсидского имени Бариз, «наследник».",Боря; Бориска,Boris,Б,5,23,top,классика; короткое
Виктория,f,viktoriya,https://n-e-n.ru/imena/imya/viktoriya/,латинское,«победа» — имя римской богини победы,"Виктория — «победа» по-латыни, имя римской богини и британской королевы, определившей целую эпоху. В России у имени два лица: парадная Виктория и домашняя Вика, между ними — половина документооборота страны. Устойчиво популярно с девяностых, без резких взлётов и падений.",Вика; Викуся; Тори,Victoria; Vittoria,В,8,23,top,классика
Дарья,f,darya,https://n-e-n.ru/imena/imya/darya/,персидское,«владеющая благом» — женская форма царского имени Дарий,"Имя Дарья восходит к древнеперсидскому мужскому имени Дарий (Дараявауш), которое носили персидские цари; его трактуют как «владеющая благом». В русском языке имя со временем сблизилось и со словом «дар».",Даша; Дашуня,Daria; Darya,Д,5,24,top,классика; короткое
Роман,m,roman,https://n-e-n.ru/imena/imya/roman/,латинское,«римлянин» — от Romanus,"Имя Роман в переводе с латинского языка означает «римский житель», а в переводе с греческого — «сильный духом».",Рома; Ромка,Roman; Romain; Romano,Р,5,24,top,классика; короткое
Константин,m,konstantin,https://n-e-n.ru/imena/imya/konstantin/,латинское,"«постоянный, стойкий» — от constans","Привычное нам и приятное по звучанию имя Константин имеет древнеримские корни. Специалисты в области лингвистики определяют, что данное имя в основании своем имеет латинское слово ""constantis"" – это родительный падеж от слова ""constans"", что дословно означает «стойкий, определенный, постоянный». Родственное по значению к имени Константин – Констанций, также существует и женская форма имени – Констанция, использующаяся крайне редко.",Костя; Костик,Constantine; Konstantin; Costantino,К,10,25,top,классика
Раиса,f,raisa,https://n-e-n.ru/imena/imya/raisa/,древнегреческое,"вероятно, «лёгкая, покладистая»","Женское имя Раиса имеет несколько вариантов происхождения. По первой версии, оно произошло от древнегреческого слова, переводимого как «лёгкая, легкомысленная, беспечная». По другой, имя Раиса является усечённой формой греческого имени Ираида, которое имеет значение «героиня».",Рая; Раечка,Raisa,Р,5,25,top,классика; короткое
Зинаида,f,zinaida,https://n-e-n.ru/imena/imya/zinaida/,древнегреческое,«из рода Зевса»,"Зинаида — имя древнегреческого происхождения. Этимологи возводят его к сочетанию «Зен» (одна из форм имени Зевса) и «идос» — «потомок», поэтому значение имени — «из рода Зевса», «потомок Зевса».",Зина; Зиночка,Zinaida,З,7,26,top,классика
Илья,m,ilya,https://n-e-n.ru/imena/imya/ilya/,древнееврейское,«мой Бог — Яхве» — русская форма имени Элияху,"Имя Илья переводится с древнееврейского наречия как «мой Бог Яхве (Ягве, Иегова)». Имя Илья на Руси имело иное написание — Илия. Имя пришло несколько видоизменённым в русский язык из древнееврейского наречия, на котором была написана Библия.",Илюша; Ильюха,Elijah; Elias; Elia,И,4,26,top,классика; короткое
Денис,m,denis,https://n-e-n.ru/imena/imya/denis/,древнегреческое,"«посвящённый Дионису», богу виноделия","Имя Денис имеет древнегреческие корни. Дословно оно переводится как ""принадлежащий Дионису"", ""подчиняющийся Дионису"". Произошло оно от имени Дионисиос.",Дениска; Ден,Denis; Dennis,Д,5,27,top,классика; короткое
Елизавета,f,elizaveta,https://n-e-n.ru/imena/imya/elizaveta/,древнееврейское,«Бог — моя клятва» — от Элишева,"Имя ЕЛИЗАВЕТА имеет еврейские корни и дословно означает ""Божья Клятва"", ""Почитающая Бога"" или ""Божья помощь"".",Лиза; Лизонька; Элиза,Elizabeth; Élisabeth; Elisa; Lisa,Е,9,27,top,классика
Геннадий,m,gennadiy,https://n-e-n.ru/imena/imya/gennadiy/,древнегреческое,«благородный» — от геннадас,"Имя Геннадий имеет древнегреческие корни, и у его происхождения есть две версии. По первой, оно произошло от слова «геннадас» — «благородный», «благородного происхождения». Вторую версию иллюстрируют примерами других греческих имён — таких как Диоген («божественный») и Гермоген («сын Гермеса»).",Гена; Геша,Gennady,Г,8,28,top,классика
Евгения,f,evgeniya,https://n-e-n.ru/imena/imya/evgeniya/,древнегреческое,«благородная» — парное к Евгению,"Евгения — имя древнегреческого происхождения, в переводе — «благородная», «знатная», «происходящая из знатного рода».",Женя; Женечка; Геша,Eugenia; Eugénie,Е,7,28,top,классика
Лариса,f,larisa,https://n-e-n.ru/imena/imya/larisa/,древнегреческое,"вероятно, «чайка»; по другой версии — от города Ларисса",У происхождения женского имени Лариса две основные версии. Простая латинская версия сводится к переводу с латинского слова «larus» как «чайка». Вторая же версия уходит корнями в древнегреческую мифологию.,Лара; Лорик,Larisa,Л,6,29,top,классика
Леонид,m,leonid,https://n-e-n.ru/imena/imya/leonid/,древнегреческое,«подобный льву» — имя спартанского царя,"Имя Леонид происходит от древнегреческого мужского имени Леонидас (в переводе «леон»- лев, «идеа»- внешность, подобие идеалу), означает «подобный льву», «сын льва», «похожий на льва», «львиного рода». Несмотря на греческое происхождение, имя завоевало большую популярность у славян и вошло в обиход.",Лёня; Ленечка,Leonid; Leonidas,Л,6,29,top,классика
Артём,m,artyom,https://n-e-n.ru/imena/imya/artyom/,древнегреческое,"«невредимый, здоровый»; связано с богиней Артемидой","Артём возглавлял российские рейтинги в 2010-е: если в классе двое тёзок, один из них почти наверняка Артём. Греческое имя, родственное Артемиде, в русском быту полностью вытеснило книжную форму «Артемий» — та теперь живёт отдельным редким именем. Уменьшительное «Тёма» одинаково легко носят и трёхлетка, и взрослый.",Тёма; Артёмка,Artem; Artemio,А,5,30,top,классика; короткое
Зоя,f,zoya,https://n-e-n.ru/imena/imya/zoya/,древнегреческое,«жизнь» — греческая параллель имени Ева,"Имя Зоя происходит из Древней Греции, в переводе «зое» означает «жизнь». Имя Зоя наполнено теплом, добром и жизнелюбием, ведь его значение — «жизнь». В России оно появилось в период становления православия.",Зоенька; Зося,Zoe; Zoé,З,3,30,top,классика; короткое
Антонина,f,antonina,https://n-e-n.ru/imena/imya/antonina/,латинское,из римского рода Антониев,"Антонина — женская форма римского родового имени, то есть «принадлежащая к роду Антониев». По другой версии, имя греческое и происходит от слова «antao» — «приобретающая взамен». На Руси имя распространилось с приходом христианства.",Тоня; Тося; Нина,Antonina; Antonia,А,8,31,top,классика
Никита,m,nikita,https://n-e-n.ru/imena/imya/nikita/,древнегреческое,«победитель» — от никао (побеждать),"С древнегреческого Никита переводится как ""победитель"". Имя Никита появилось в Древней Греции. На Руси имя обрело популярность после крещения и называли им преимущественно монахов.",Ник; Никитка,Nikita; Nikitas,Н,6,31,top,классика
Валентин,m,valentin,https://n-e-n.ru/imena/imya/valentin/,латинское,"«здоровый, сильный» — от valens; парное к женскому Валентина","Валентин — мужское имя латинского происхождения. Оно образовано от слова «valens» — «здоровый», «сильный». Парное женское имя — Валентина.",Валя; Валик,Valentin; Valentino,В,8,32,top,классика
Ксения,f,kseniya,https://n-e-n.ru/imena/imya/kseniya/,древнегреческое,«гостеприимная; чужестранка» — от ксенос,"Имя Ксения пришло к нам из Древней Греции, и значений у него несколько. По одной из версий, оно образовано от имени Поликсения и означает «гостеприимная».",Ксюша; Ксеня,Xenia; Ksenia,К,6,32,top,классика
Кирилл,m,kirill,https://n-e-n.ru/imena/imya/kirill/,древнегреческое,"«господин, владыка» — от кюриос","Существует две версии происхождения мужского имени Кирилл. По первой версии это имя имеет древнейшие греческие корни и является переводом греческого слова «кир». Перевод с древнегреческого языка имени Кирилл означает «господин», «владыка», «могущественный» или «обладающий силой».",Кира; Кирюша,Cyril; Cirillo,К,6,33,top,классика
Оксана,f,oksana,https://n-e-n.ru/imena/imya/oksana/,древнегреческое,украинская форма Ксении — «гостеприимная»,"Оксана — украинский вариант женского имени Ксения, которое имеет греческие корни и означает ""чужеземка"", ""гостья"", ""иностранка"", ""путешественница"", ""чужая"", ""гостеприимная"".",Ксана; Оксанка,Oksana,О,6,33,top,классика
